
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005617                       # Number of seconds simulated (Second)
simTicks                                   5616961000                       # Number of ticks simulated (Tick)
finalTick                                  5616961000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    135.30                       # Real time elapsed on the host (Second)
hostTickRate                                 41515616                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1199784                       # Number of bytes of host memory used (Byte)
simInsts                                     19928450                       # Number of instructions simulated (Count)
simOps                                       35336477                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   147293                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     261176                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         11233923                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        36860148                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       36                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       36469636                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2225                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1523701                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1770192                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  18                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11128643                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.277096                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.012470                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1121476     10.08%     10.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1270300     11.41%     21.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    991547      8.91%     30.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3262120     29.31%     59.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1729409     15.54%     75.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1212899     10.90%     86.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    785505      7.06%     93.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    308375      2.77%     95.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    447012      4.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11128643                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  569815     95.02%     95.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     95.02% # attempts to use FU when none available (Count)
