
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005394                       # Number of seconds simulated (Second)
simTicks                                   5394450500                       # Number of ticks simulated (Tick)
finalTick                                  5394450500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    138.93                       # Real time elapsed on the host (Second)
hostTickRate                                 38828913                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1198500                       # Number of bytes of host memory used (Byte)
simInsts                                     19928450                       # Number of instructions simulated (Count)
simOps                                       35336477                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   143444                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     254349                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         10788902                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        35930605                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       38                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       35778766                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1311                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               594160                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            643683                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  20                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10687042                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.347864                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.971946                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    891808      8.34%      8.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1234106     11.55%     19.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    990681      9.27%     29.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3120363     29.20%     58.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1659366     15.53%     73.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1305308     12.21%     86.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    743494      6.96%     93.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    358087      3.35%     96.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    383829      3.59%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10687042                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  585498     95.29%     95.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     95.29% # attempts to use FU when none available (Count)
