
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005657                       # Number of seconds simulated (Second)
simTicks                                   5656917000                       # Number of ticks simulated (Tick)
finalTick                                  5656917000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    135.05                       # Real time elapsed on the host (Second)
hostTickRate                                 41887888                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1198760                       # Number of bytes of host memory used (Byte)
simInsts                                     19928450                       # Number of instructions simulated (Count)
simOps                                       35336477                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   147564                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     261656                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         11313835                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        36815208                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       38                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       36432112                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2278                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1478763                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1728958                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  20                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            11201016                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.252572                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.016372                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1195999     10.68%     10.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1263408     11.28%     21.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    976854      8.72%     30.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3306936     29.52%     60.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1705824     15.23%     75.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1215080     10.85%     86.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    785053      7.01%     93.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    329722      2.94%     96.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    422140      3.77%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              11201016                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  568581     95.02%     95.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     95.02% # attempts to use FU when none available (Count)
