
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005318                       # Number of seconds simulated (Second)
simTicks                                   5317846000                       # Number of ticks simulated (Tick)
finalTick                                  5317846000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    136.34                       # Real time elapsed on the host (Second)
hostTickRate                                 39003161                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1199784                       # Number of bytes of host memory used (Byte)
simInsts                                     19928450                       # Number of instructions simulated (Count)
simOps                                       35336477                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   146163                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     259171                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         10635693                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        35859883                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       37                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       35719014                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1295                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               523437                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            605498                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  19                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10538525                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.389375                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.933784                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    722056      6.85%      6.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1226812     11.64%     18.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    952288      9.04%     27.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3263155     30.96%     58.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1694022     16.07%     74.57% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1209505     11.48%     86.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    734042      6.97%     93.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    322864      3.06%     96.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    413781      3.93%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10538525                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  575391     95.22%     95.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.22% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     95.22% # attempts to use FU when none available (Count)
