
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005339                       # Number of seconds simulated (Second)
simTicks                                   5338680500                       # Number of ticks simulated (Tick)
finalTick                                  5338680500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    139.21                       # Real time elapsed on the host (Second)
hostTickRate                                 38349811                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1199528                       # Number of bytes of host memory used (Byte)
simInsts                                     19928450                       # Number of instructions simulated (Count)
simOps                                       35336477                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   143154                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     253835                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         10677362                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        35926332                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       36                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       35775787                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1292                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               589885                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            638046                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  18                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10579636                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.381571                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.911266                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    643890      6.09%      6.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1234199     11.67%     17.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    849893      8.03%     25.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3683390     34.82%     60.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1799994     17.01%     77.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    883801      8.35%     85.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    743195      7.02%     92.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    216711      2.05%     95.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    524563      4.96%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10579636                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  584466     95.28%     95.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     95.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     95.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     95.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     95.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     95.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     95.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     95.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     95.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     95.28% # attempts to use FU when none available (Count)
